Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
LOC100507557,-0.22,12.38,-14.96,2.8,0.0
LOC100507564,0.0,-31.2,20.71,10.49,0.0
LOC100507567,0.0,2.15,-20.39,19.29,-1.05
LOC100507577,0.17,11.96,-14.6,2.67,-0.2
LOC100507582,-0.03,1.19,-6.27,5.34,-0.25
LOC100507584,0.0,8.53,-11.19,3.07,-0.42
LOC100507588,0.0,1.61,-19.5,18.95,-1.05
LOC100507589,0.0,8.73,-13.8,4.73,0.34
LOC100507600,0.0,2.96,-5.21,2.07,0.17
LOC100507605,0.17,67.14,-58.32,-8.94,-0.05
LOC100507629,-0.2,1.72,-30.84,29.71,-0.39
LOC100507632,0.0,6.58,-5.63,-0.95,0.0
LOC100507634,0.0,-31.86,21.4,10.66,-0.2
LOC100507651,0.17,6.76,-5.98,-0.95,0.0
LOC100508120,-0.26,6.38,-8.36,2.27,-0.03
LOC100509894,0.05,13.25,-13.72,0.61,-0.2
LOC100526771,0.17,11.33,1.18,-10.51,-2.18
LOC100527964,0.0,0.21,-9.38,9.38,-0.2
LOC100616530,0.17,5.93,-0.18,-5.12,-0.78
LOC100616668,-0.44,12.63,-12.57,0.59,-0.22
LOC100628307,-0.03,5.99,-9.31,3.34,0.0
LOC100630918,0.0,2.64,-6.08,2.76,0.69
LOC100630923,0.0,0.44,-49.06,48.88,-0.26
LOC100631378,0.0,-34.44,5.79,28.17,0.47
LOC100652730,0.0,3.3,-32.02,28.6,0.13
LOC100652739,-0.42,12.08,-14.64,2.97,0.0
LOC100652759,-0.39,0.93,-8.01,7.86,-0.39
LOC100652768,-0.2,11.48,0.15,-10.24,-1.2
LOC100652770,0.0,-1.46,-5.01,6.32,0.14
LOC100652791,0.0,7.4,-8.19,0.45,0.34
LOC100652846,0.17,5.0,-4.48,1.56,-2.25
LOC100652909,0.0,-33.59,4.77,29.08,-0.26
LOC100652999,-0.59,-0.38,-5.13,5.77,0.32
LOC100653515,0.0,5.75,-10.91,6.16,-1.0
LOC100859930,-0.22,-0.5,-4.86,6.16,-0.59
LOC100861402,0.52,2.0,-5.32,2.63,0.17
LOC113230,0.0,1.7,-19.7,18.61,-0.61
LOC115110,-0.64,-22.84,11.91,11.08,0.49
LOC116437,0.0,0.53,-2.85,3.54,-1.23
LOC120824,0.17,8.14,-4.1,-4.01,-0.2
LOC126536,0.0,2.21,-20.09,18.28,-0.42
LOC127841,0.0,-1.27,-15.92,12.19,4.99
LOC143188,-1.4,62.83,-62.12,0.34,0.34
LOC143666,-2.83,5.31,0.26,-2.7,-0.03
LOC144481,0.17,-2.1,-3.51,5.46,-0.03
LOC144486,0.34,-1.72,-3.7,5.28,-0.2
LOC144571,0.52,6.25,-6.27,1.67,-2.18
LOC144742,-0.03,-1.18,-3.34,4.99,-0.44
LOC145216,0.17,7.29,-11.22,3.81,-0.05
LOC145474,-0.03,6.48,-9.65,3.19,0.0
LOC145663,0.17,11.72,-14.26,2.19,0.17
LOC145783,0.0,9.3,-11.61,2.51,-0.2
LOC145820,-0.03,9.61,-11.6,2.04,-0.03
LOC145837,0.0,8.33,-10.96,2.83,-0.2
LOC145845,0.14,14.4,-16.93,2.21,0.17
LOC146336,0.17,10.93,-14.71,3.65,-0.05
LOC146481,0.17,11.26,-14.43,3.01,0.0
LOC146513,0.49,11.8,-15.31,3.01,0.0
LOC146880,0.0,4.74,-10.04,6.11,-0.81
LOC147093,0.17,5.37,-11.05,5.51,0.0
LOC147646,-1.63,-32.87,10.56,23.98,-0.03
LOC147670,-2.99,-35.62,11.9,26.35,0.34
LOC147727,0.17,1.65,-19.28,18.19,-0.73
LOC147804,-2.02,-34.12,10.6,25.2,0.34
LOC148145,0.17,-31.68,1.12,29.92,0.47
LOC148189,0.0,-31.66,1.1,30.4,0.14
LOC148413,-0.64,-22.84,11.91,11.08,0.49
LOC148696,0.0,0.36,-9.92,9.05,0.52
LOC148709,0.0,-0.94,-9.78,9.91,0.81
LOC148824,-0.09,-1.82,-8.39,9.96,0.34
LOC149086,0.0,-29.45,18.48,10.63,0.34
LOC149134,-0.44,-0.07,-9.24,9.25,0.52
LOC149773,0.0,2.63,-31.6,28.29,0.69
LOC149837,-0.2,1.72,-30.84,29.71,-0.39
LOC149950,0.0,2.36,-32.26,29.91,0.0
LOC150185,0.34,19.48,-22.04,2.28,-0.05
LOC150197,0.34,19.48,-22.04,2.28,-0.05
LOC150381,-0.09,21.65,-21.98,0.63,-0.2
LOC150527,0.0,2.98,-5.4,2.61,-0.2
LOC150568,0.0,3.23,-5.86,2.46,0.17
LOC150622,-0.2,1.71,-4.37,2.56,0.3
LOC150776,0.0,3.18,-5.61,2.44,0.0
LOC150935,-3.59,0.06,0.66,2.88,0.0
LOC151009,-0.2,4.09,-6.16,2.1,0.17
LOC151171,-3.2,-0.02,0.17,3.05,0.0
LOC151174,-3.2,-0.19,0.17,3.22,0.0
LOC151300,-0.03,1.22,-3.66,2.46,0.0
LOC151475,-1.59,0.37,-1.07,2.29,0.0
LOC151484,-1.59,0.34,-1.39,2.63,0.0
LOC151534,0.0,2.76,-5.21,2.44,0.0
LOC151658,-0.78,1.43,-9.38,8.77,-0.03
LOC152024,0.0,1.64,-7.45,6.39,-0.59
LOC152217,-1.4,1.95,-10.85,10.02,0.27
LOC152225,-0.78,1.23,-9.36,8.94,-0.03
LOC152578,-0.2,-3.32,-4.99,4.57,3.93
LOC152742,0.0,-0.49,-2.8,3.3,0.0
LOC153469,0.0,-0.7,-4.97,5.7,-0.03
LOC153684,0.17,1.02,-7.32,6.32,-0.2
LOC153910,-0.22,13.09,-15.67,2.8,0.0
LOC154092,-0.2,13.62,-16.41,2.8,0.17
LOC154449,-0.42,11.98,-15.77,3.69,0.52
LOC154761,0.17,0.22,-48.33,48.08,-0.14
LOC154822,-0.22,0.66,-49.72,49.46,-0.2
LOC154860,0.0,-0.12,-47.47,47.73,-0.14
LOC154872,0.0,0.08,-47.79,47.86,-0.14
LOC155060,0.0,0.74,-48.79,48.25,-0.2
LOC157273,-0.03,7.26,-7.99,0.42,0.34
LOC157381,0.0,5.75,3.02,-5.32,-3.45
LOC157627,-0.03,7.26,-8.16,0.59,0.34
LOC158257,0.0,2.34,-11.31,9.0,-0.03
LOC158376,0.0,13.36,-21.4,7.71,0.32
LOC158434,0.0,2.31,-11.29,8.83,0.14
LOC158435,0.0,2.31,-11.29,8.83,0.14
LOC170425,0.17,65.93,-65.47,-0.44,-0.2
LOC1720,0.0,2.79,-5.4,2.61,0.0
LOC200261,-0.78,1.5,-30.26,29.53,0.0
LOC200726,0.34,1.98,-4.96,2.63,0.0
LOC200772,-3.59,-0.5,0.88,3.22,0.0
LOC201477,0.0,-0.13,-4.18,4.14,0.17
LOC201617,-0.03,0.96,-8.43,7.69,-0.2
LOC201651,-0.2,0.93,-11.35,10.44,0.17
LOC202181,-0.22,-0.65,-5.45,6.71,-0.39
LOC202781,0.17,0.52,-49.16,49.18,-0.71
LOC219347,-0.03,66.35,-65.86,-0.61,0.14
LOC219731,0.32,65.44,-56.7,-8.43,-0.64
LOC220729,-1.4,1.82,-11.94,10.88,0.64
LOC220906,0.0,67.14,-58.34,-8.57,-0.22
LOC221122,0.52,6.59,-2.88,-4.23,0.0
LOC221442,0.0,8.31,-10.82,2.73,-0.22
LOC253039,0.0,2.05,-10.75,8.73,-0.03
LOC253044,-0.03,8.7,-11.48,2.8,0.0
LOC253573,0.17,2.28,-14.96,11.52,0.98
LOC253962,0.0,4.48,-12.15,7.5,0.17
LOC254099,-0.64,-22.84,11.91,11.08,0.49
LOC254100,0.0,13.42,-6.75,-6.64,-0.03
LOC254128,0.0,3.59,-6.38,2.79,0.0
LOC254312,-0.03,65.25,-56.36,-8.23,-0.64
LOC254559,0.17,8.72,-11.31,2.24,0.17
LOC254896,-0.2,8.16,-8.55,0.42,0.17
LOC255025,-0.59,1.47,-9.6,8.91,-0.2
LOC255130,-0.39,-4.18,-0.65,4.08,1.13
LOC255167,-0.25,0.15,-5.98,6.29,-0.22
LOC255411,-0.81,0.54,-6.14,6.1,0.32
LOC255480,-0.25,-0.45,-3.58,4.89,-0.61
LOC255512,-3.0,5.33,0.74,-2.87,-0.2
LOC255654,-0.44,-0.07,-9.24,9.25,0.52
LOC256021,0.34,-1.55,-3.69,5.08,-0.2
LOC256880,-0.03,-8.16,4.52,3.32,0.34
LOC257358,-0.05,-2.12,-3.61,6.56,-0.78
LOC257396,0.17,1.36,-7.71,6.16,0.0
LOC282980,0.13,64.71,-54.42,-9.58,-0.83
LOC282997,-0.98,64.76,-63.91,0.14,-0.03
LOC283033,0.17,64.62,-63.89,-0.71,-0.2
LOC283038,-1.79,62.29,-60.48,0.17,-0.2
LOC283050,0.17,66.05,-66.49,0.1,0.17
LOC283070,0.52,65.22,-56.9,-8.38,-0.46
LOC283089,-1.98,62.91,-61.25,0.34,-0.03
LOC283104,-1.85,2.83,1.95,-2.53,-0.39
LOC283116,0.17,8.14,-4.1,-4.01,-0.2
LOC283143,-0.2,12.21,-0.63,-10.58,-0.81
LOC283174,-0.2,10.81,0.63,-9.87,-1.4
LOC283177,-0.22,10.42,0.66,-9.67,-1.2
LOC283194,0.0,11.75,-6.31,-5.44,0.0
LOC283214,0.0,13.32,-5.64,-7.82,0.14
LOC283299,-2.25,3.37,1.98,-2.7,-0.39
LOC283332,-0.81,0.21,-6.36,6.8,0.14
LOC283335,-0.39,-0.55,-4.96,5.58,0.32
LOC283392,0.14,-1.87,-3.96,5.36,0.32
LOC283403,-0.39,-0.52,-5.5,6.1,0.32
LOC283404,-0.39,-0.52,-5.5,6.1,0.32
LOC283440,0.17,5.0,-4.48,1.56,-2.25
LOC283481,-0.05,8.65,-9.41,1.41,-0.59
LOC283547,0.0,17.08,-19.1,2.21,-0.2
LOC283553,0.0,12.0,-14.22,2.24,-0.03
LOC283585,-0.03,5.34,-8.84,3.53,0.0
LOC283587,-0.03,5.34,-8.84,3.53,0.0
LOC283624,0.0,17.15,-18.53,2.55,-1.17
LOC283663,0.0,9.3,-11.59,2.49,-0.2
LOC283683,-0.42,11.15,-12.91,2.36,-0.2
LOC283688,0.14,8.36,-11.51,3.0,0.0
LOC283692,-0.03,8.55,-11.16,2.63,0.0
LOC283693,-0.03,8.75,-11.36,2.63,0.0
LOC283710,-0.22,12.75,-14.74,2.04,0.17
LOC283731,-0.03,8.87,-12.02,3.18,0.0
LOC283738,0.34,8.95,-11.72,2.27,0.17
LOC283761,0.17,8.72,-11.51,2.44,0.17
LOC283856,0.17,11.48,-14.29,2.64,0.0
LOC283867,0.34,11.62,-14.44,2.47,0.0
LOC283888,0.17,9.46,-13.77,4.13,0.0
LOC283914,0.17,11.26,-14.43,3.01,0.0
LOC283922,0.0,11.92,-14.32,2.79,-0.39
LOC284009,0.0,11.94,-13.97,2.25,-0.22
LOC284023,-0.2,12.01,-14.53,3.11,-0.39
LOC284080,0.17,4.43,-11.59,6.81,0.17
LOC284100,-0.03,7.45,-12.44,4.85,0.17
LOC284215,0.0,0.22,-4.53,4.31,0.0
LOC284260,0.0,-0.69,-5.63,6.34,-0.03
LOC284276,-0.59,0.0,-5.88,6.32,0.14
LOC284294,-0.03,0.26,-5.8,6.15,-0.59
LOC284344,-0.42,-35.92,9.39,26.62,0.32
LOC284379,-2.02,-34.46,11.14,25.2,0.14
LOC284385,0.0,2.0,-19.66,18.55,-0.9
LOC284395,0.34,-32.22,0.82,30.4,0.64
LOC284408,0.0,-33.82,5.18,28.34,0.3
LOC284412,0.0,-34.05,5.57,28.17,0.3
LOC284440,0.0,1.85,-20.68,18.87,-0.05
LOC284454,-0.2,1.7,-20.01,19.14,-0.64
LOC284551,0.0,-29.45,18.48,10.63,0.34
LOC284576,0.0,-0.63,-12.56,10.97,2.21
LOC284578,0.0,0.23,-11.87,10.45,1.17
LOC284581,0.0,0.43,-11.03,10.08,0.52
LOC284632,0.0,-26.87,17.07,9.63,0.17
LOC284648,0.0,-0.16,-9.56,9.91,-0.2
LOC284661,-0.98,-19.18,9.77,10.39,0.0
LOC284688,0.0,0.06,-9.77,9.72,0.0
LOC284751,-0.2,1.77,-30.79,29.05,0.17
LOC284757,-0.2,2.46,-31.01,28.63,0.13
LOC284788,-0.78,1.5,-30.03,29.71,-0.39
LOC284798,-0.39,1.48,-31.34,29.91,0.34
LOC284801,-0.59,2.09,-31.55,29.88,0.17
LOC284837,0.0,2.55,-9.0,6.64,-0.2
LOC284865,0.34,19.48,-22.04,2.28,-0.05
LOC284889,0.0,19.62,-20.97,1.73,-0.39
LOC284933,0.57,22.16,-22.67,0.16,-0.22
LOC284950,0.0,2.64,-6.63,3.3,0.69
LOC284998,0.0,3.59,-6.38,2.8,-0.03
LOC285000,0.0,3.57,-6.2,2.46,0.17
LOC285033,0.0,2.68,-5.66,2.8,0.17
LOC285074,0.0,3.15,-5.6,2.44,0.0
LOC285084,0.17,1.98,-4.98,2.83,0.0
LOC285103,0.0,2.98,-5.6,2.61,0.0
LOC285205,-0.78,1.43,-9.38,8.77,-0.03
LOC285326,0.0,1.82,-7.62,6.58,-0.78
LOC285359,-0.78,1.25,-9.38,8.94,-0.03
LOC285370,0.17,1.88,-7.52,5.71,-0.25
LOC285375,0.34,1.71,-6.83,5.2,-0.42
LOC285401,-0.39,1.52,-8.23,7.3,-0.2
LOC285419,-0.42,-9.51,5.77,3.81,0.34
LOC285441,-2.3,-9.25,7.17,4.37,0.0
LOC285456,-0.03,-10.07,6.47,3.44,0.17
LOC285484,0.34,-0.69,-2.92,3.27,0.0
LOC285501,-2.42,-8.12,6.75,3.61,0.17
LOC285540,0.0,-2.31,-0.82,3.32,-0.2
LOC285547,0.0,-0.89,-2.41,3.3,0.0
LOC285548,0.0,-0.89,-2.41,3.3,0.0
LOC285577,0.47,0.08,-6.25,6.1,-0.39
LOC285593,-0.22,-1.53,-3.85,6.19,-0.59
LOC285626,-0.22,-1.76,-3.17,5.53,-0.39
LOC285627,-0.22,-1.76,-3.17,5.53,-0.39
LOC285629,-0.05,-1.6,-3.29,5.33,-0.39
LOC285692,-0.05,0.23,-6.25,6.29,-0.22
LOC285696,0.0,-0.44,-5.66,6.1,0.0
LOC285740,-0.22,12.92,-15.5,2.8,0.0
LOC285758,0.17,10.58,-13.53,2.78,0.0
LOC285762,0.17,11.72,-14.86,2.97,0.0
LOC285768,-0.64,6.68,-8.83,2.83,-0.05
LOC285796,0.78,13.03,-16.19,2.36,0.0
LOC285819,0.0,6.97,-9.29,2.32,0.0
LOC285847,0.0,8.36,-11.02,2.9,-0.25
LOC285878,0.0,0.77,-60.64,42.09,17.79
LOC285889,-0.03,1.41,-50.44,49.42,-0.37
LOC285954,0.0,0.94,-56.39,55.18,0.27
LOC285965,0.17,0.39,-48.3,47.9,-0.17
LOC285972,0.0,0.57,-48.99,48.78,-0.37
LOC286002,0.0,0.64,-48.81,48.27,-0.09
LOC286059,-0.2,8.16,-8.55,0.42,0.17
LOC286083,0.14,7.36,-9.07,1.45,0.13
LOC286094,-0.2,5.85,2.33,-5.08,-2.91
LOC286114,-0.2,7.79,-8.21,0.45,0.17
LOC286135,0.17,8.38,-8.27,-0.1,-0.2
LOC286177,0.0,6.24,-5.46,-0.78,0.0
LOC286184,0.0,6.05,-5.57,-0.28,-0.2
LOC286186,0.0,6.05,-5.57,-0.46,-0.03
LOC286189,0.17,6.57,-5.71,-0.83,-0.2
LOC286190,0.0,5.85,-4.81,-1.02,-0.03
LOC286238,0.34,2.53,-11.34,8.66,-0.2
LOC286297,0.69,11.59,-18.65,6.03,0.34
LOC286359,0.0,2.34,-10.95,8.81,-0.2
LOC286367,0.0,1.61,-10.04,8.64,-0.2
LOC286370,0.34,1.82,-11.17,9.03,-0.03
LOC338579,0.0,65.16,-64.23,-0.71,-0.22
LOC338588,-0.22,65.27,-55.38,-9.19,-0.48
LOC338651,-3.0,5.13,0.94,-2.87,-0.2
LOC338739,0.0,3.97,-2.03,-2.46,0.52
LOC338758,0.52,-1.58,-4.03,5.28,-0.2
LOC338799,0.17,-0.82,-2.97,4.26,-0.64
LOC338817,0.17,7.26,-7.59,1.75,-1.59
LOC338963,-0.03,8.75,-11.36,2.63,0.0
LOC339166,0.0,12.12,-14.14,2.25,-0.22
LOC339240,0.17,8.73,-13.81,4.75,0.17
LOC339290,0.0,1.0,-5.12,4.11,0.0
LOC339298,-0.39,0.22,-6.46,6.49,0.14
LOC339442,-0.2,-31.17,19.99,11.03,0.34
LOC339505,0.0,-27.29,17.31,9.8,0.17
LOC339524,0.0,-30.14,19.38,10.96,-0.2
LOC339529,-0.42,-1.73,-8.66,9.27,1.52
LOC339535,-0.22,-0.23,-8.85,9.51,-0.22
LOC339568,0.0,2.5,-31.69,29.19,0.0
LOC339593,0.0,1.52,-31.38,30.08,-0.22
LOC339622,0.17,0.37,-7.73,6.84,0.34
LOC339666,0.0,23.23,-24.03,1.19,-0.39
LOC339685,0.57,21.13,-22.35,0.87,-0.22
LOC339788,-0.03,1.59,-4.25,2.2,0.49
LOC339803,0.0,2.42,-4.49,1.9,0.17
LOC339807,0.0,3.25,-5.49,2.07,0.17
LOC339822,-0.59,3.06,-4.97,2.39,0.1
LOC339862,0.17,1.52,-6.89,5.78,-0.59
LOC339874,-0.39,2.11,-11.29,9.41,0.17
LOC339894,-0.2,1.1,-11.49,10.24,0.34
LOC339926,-0.2,0.41,-13.93,12.04,1.67
LOC339975,-2.49,-7.83,5.77,4.55,0.0
LOC340017,-1.62,-11.26,9.04,3.83,0.0
LOC340037,-0.22,-0.79,-5.27,6.68,-0.39
LOC340073,0.0,-0.39,-4.75,5.33,-0.2
LOC340074,0.0,-0.39,-4.75,5.33,-0.2
LOC340094,0.13,0.64,-7.01,6.27,-0.03
LOC340107,0.17,1.37,-7.29,5.94,-0.2
LOC340113,0.0,1.3,-7.37,6.27,-0.2
LOC340357,-0.2,7.06,-7.29,0.25,0.17
LOC340508,0.0,2.14,-10.58,8.47,-0.03
LOC340515,0.34,2.0,-11.17,9.03,-0.2
LOC341056,0.0,12.24,0.59,-10.8,-2.02
LOC344595,-0.78,1.4,-9.36,8.77,-0.03
LOC344887,-0.2,2.3,-15.15,11.72,1.33
LOC344967,0.0,-1.77,-1.87,3.47,0.17
LOC348120,-0.42,11.15,-12.91,2.36,-0.2
LOC348761,-1.59,0.15,-1.19,2.63,0.0
LOC349160,0.0,0.25,-47.96,48.08,-0.37
LOC349196,0.17,7.4,-8.53,0.62,0.34
LOC374443,0.17,6.42,-6.49,1.87,-1.98
LOC375010,0.0,-14.05,4.22,9.86,-0.03
LOC375190,0.14,2.3,-4.96,2.54,-0.03
LOC375196,0.0,2.17,-4.76,2.59,0.0
LOC375295,-0.03,2.15,-5.15,3.02,0.0
LOC386597,-0.2,1.56,-4.23,2.73,0.13
LOC386758,-2.99,-35.98,11.56,27.26,0.14
LOC387646,0.0,67.48,-58.68,-8.57,-0.22
LOC387647,-0.2,66.97,-57.26,-9.29,-0.22
LOC387723,-0.93,61.59,-60.46,0.0,-0.2
LOC387895,0.34,-0.38,-3.41,4.09,-0.64
LOC388152,0.17,8.87,-11.48,2.46,-0.03
LOC388242,0.17,9.51,-13.64,3.96,0.0
LOC388276,0.17,12.93,-15.76,2.67,0.0
LOC388387,-0.03,5.56,-11.59,6.06,0.0
LOC388499,0.0,1.78,-19.33,18.78,-1.23
LOC388553,-0.61,-34.34,10.93,23.68,0.34
LOC388588,-0.61,-20.81,10.86,10.39,0.17
LOC388630,0.0,-32.1,21.27,10.86,-0.03
LOC388692,0.0,-14.05,4.22,9.86,-0.03
LOC388796,0.0,2.5,-31.5,28.82,0.17
LOC388813,0.32,0.93,-7.29,5.89,0.14
LOC388849,0.34,19.48,-22.04,2.28,-0.05
LOC388906,-0.25,21.01,-21.35,0.8,-0.22
LOC388942,0.0,1.86,-4.42,2.76,-0.2
LOC388946,0.0,2.03,-4.42,2.59,-0.2
LOC388948,0.0,2.03,-4.05,2.21,-0.2
LOC389023,0.0,3.57,-6.0,2.44,0.0
LOC389033,0.0,2.98,-5.25,2.27,0.0
LOC389043,0.0,3.18,-5.61,2.44,0.0
LOC389247,-2.42,-8.34,6.39,4.37,0.0
LOC389332,0.0,-0.39,-4.58,5.16,-0.2
LOC389458,-0.78,-0.46,-56.22,56.82,0.64
LOC389493,-0.2,0.42,-57.33,49.85,7.25
LOC389634,0.0,6.15,-4.65,0.3,-1.81
LOC389641,-0.2,7.96,-8.36,0.42,0.17
LOC389676,0.0,5.75,-0.82,-4.67,-0.26
LOC389705,-0.26,18.24,-21.91,3.42,0.52
LOC389765,0.17,2.36,-11.17,8.66,-0.03
LOC389791,0.0,2.64,-10.91,8.32,-0.05
LOC390660,-0.03,8.55,-11.16,2.63,0.0
LOC390705,0.17,11.26,-14.43,3.01,0.0
LOC390858,0.0,-1.13,-5.33,6.85,-0.39
LOC390940,-0.42,-35.58,9.93,26.1,-0.05
LOC391322,0.0,19.62,-20.97,1.73,-0.39
LOC392196,0.14,7.2,-8.49,0.96,0.17
LOC392232,0.0,6.02,-4.78,-1.22,-0.03
LOC392364,0.34,1.65,-10.62,8.66,-0.03
LOC399708,0.13,64.36,-54.44,-9.02,-1.03
LOC399715,0.0,65.57,-56.11,-8.99,-0.46
LOC399744,-0.2,65.91,-59.12,-6.02,-0.59
LOC399753,0.17,65.99,-65.26,-0.71,-0.2
LOC399815,-1.96,62.37,-60.73,0.34,-0.03
LOC399829,1.09,59.05,-60.09,0.14,-0.2
LOC399939,0.0,11.77,-2.88,-9.04,0.14
LOC399940,0.0,11.77,-2.88,-9.04,0.14
LOC400027,-0.65,0.31,-5.02,5.55,-0.2
LOC400043,-0.61,0.02,-5.33,5.6,0.32
LOC400084,0.17,-0.7,-2.58,3.93,-0.83
LOC400236,0.14,5.04,-8.72,3.53,0.0
LOC400238,-0.03,5.21,-8.67,3.69,-0.2
LOC400456,-0.03,9.26,-11.26,2.04,-0.03
LOC400548,0.17,13.0,-16.85,3.32,0.34
LOC400550,0.49,11.58,-15.08,3.01,0.0
LOC400558,0.86,12.05,-16.43,3.52,0.0
LOC400604,0.0,4.13,-11.8,7.33,0.34
LOC400620,0.0,5.46,-10.49,6.04,-1.0
LOC400643,0.0,-0.1,-4.57,4.68,0.0
LOC400654,-0.03,-0.42,-5.48,6.32,-0.39
LOC400655,-0.22,1.1,-7.54,6.51,0.14
LOC400657,-0.39,1.28,-7.18,6.32,-0.03
LOC400680,-0.2,1.63,-20.7,19.12,0.14
LOC400684,0.17,-32.7,2.66,30.09,-0.22
LOC400685,0.0,-33.21,4.23,29.26,-0.26
LOC400752,0.0,-32.01,21.2,10.63,0.17
LOC400794,0.0,-0.29,-9.04,9.52,-0.2
LOC400891,0.34,19.48,-22.04,2.28,-0.05
LOC400927,0.0,21.38,-22.47,1.51,-0.42
LOC400940,-0.2,1.71,-4.37,2.56,0.3
LOC400950,0.0,1.86,-4.42,2.76,-0.2
LOC400958,0.0,3.59,-5.84,2.07,0.17
LOC401010,0.0,3.18,-5.61,2.44,0.0
LOC401022,-0.03,1.98,-4.98,3.02,0.0
LOC401052,0.17,1.17,-6.42,5.34,-0.26
LOC401074,-0.39,1.03,-8.31,7.86,-0.2
LOC401093,-0.2,0.57,-10.98,10.44,0.17
LOC401109,-1.2,1.96,-11.58,10.54,0.27
LOC401127,0.0,-1.6,-2.07,3.66,0.0
LOC401134,-0.03,-6.94,3.34,3.47,0.14
LOC401164,-2.66,-8.0,6.14,4.72,-0.2
LOC401177,0.0,-0.44,-5.66,6.1,0.0
LOC401242,0.0,7.89,-9.85,2.34,-0.39
LOC401320,0.0,0.22,-57.59,56.76,0.61
LOC401321,0.0,0.42,-57.4,56.04,0.94
LOC401324,0.0,0.59,-57.23,56.54,0.1
LOC401397,0.0,0.64,-48.47,47.95,-0.12
LOC401431,0.0,0.74,-48.96,48.25,-0.02
LOC401463,0.0,6.22,-5.59,-0.44,-0.2
LOC401497,-0.26,19.71,-25.5,5.88,0.17
LOC401557,0.17,3.52,-10.88,7.24,-0.05
LOC401980,0.0,-0.94,-9.75,10.08,0.61
LOC402160,0.0,0.34,-2.85,2.51,0.0
LOC402779,-0.2,-29.28,17.44,11.52,0.52
LOC404266,0.17,5.09,-12.18,6.91,0.0
LOC407835,0.0,-0.09,-48.26,48.39,-0.04
LOC415056,0.0,14.24,-22.62,7.52,0.86
LOC439949,0.0,65.38,-56.28,-9.02,-0.07
LOC439950,-0.03,65.44,-56.56,-8.04,-0.83
LOC439990,-0.03,66.35,-65.86,-0.61,0.14
LOC439994,0.14,65.83,-65.71,-0.44,0.17
LOC440028,-1.85,2.83,1.95,-2.53,-0.39
LOC440040,0.0,8.67,-4.27,-4.2,-0.2
LOC440041,0.0,9.84,-5.13,-4.52,-0.2
LOC440117,0.34,-0.35,-2.9,3.91,-1.0
LOC440131,-0.26,10.37,-10.74,1.43,-0.78
LOC440173,0.17,2.51,-11.14,8.66,-0.2
LOC440288,-0.03,8.87,-12.39,3.54,0.0
LOC440297,-0.03,8.75,-11.36,2.63,0.0
LOC440300,0.17,8.87,-11.48,2.46,-0.03
LOC440335,0.0,8.7,-13.72,4.68,0.34
LOC440354,0.17,9.51,-13.64,3.96,0.0
LOC440356,0.17,9.51,-13.64,3.96,0.0
LOC440434,-0.03,7.45,-12.44,4.85,0.17
LOC440461,0.0,4.74,-9.87,5.94,-0.81
LOC440518,-0.2,1.63,-20.7,19.31,-0.05
LOC440563,-0.2,-26.43,14.36,11.57,0.69
LOC440600,-0.2,-31.32,21.12,10.4,0.0
LOC440700,0.0,-0.29,-9.21,9.69,-0.2
LOC440704,0.0,-0.08,-10.0,10.28,-0.2
LOC440894,-0.2,4.09,-6.16,2.1,0.17
LOC440895,-0.2,4.09,-6.16,2.1,0.17
LOC440896,0.69,11.59,-18.65,6.03,0.34
LOC440900,0.0,3.57,-6.0,2.44,0.0
LOC440905,0.0,2.98,-5.6,2.61,0.0
LOC440910,0.0,3.18,-5.61,2.44,0.0
LOC440925,0.17,2.17,-5.15,2.63,0.17
LOC440944,0.17,1.54,-6.78,5.34,-0.26
LOC440970,-0.39,1.08,-9.09,8.4,0.0
LOC441009,-0.2,-0.3,-2.8,3.3,0.0
LOC441025,-0.39,-7.55,4.67,3.1,0.17
LOC441177,-0.42,14.14,-17.02,3.3,0.0
LOC441204,0.0,0.39,-57.08,56.21,0.47
LOC441242,-0.2,-0.12,-57.94,56.39,1.86
LOC441454,0.0,2.31,-10.75,8.47,-0.03
LOC441455,0.0,2.51,-10.95,8.47,-0.03
LOC441461,0.0,2.31,-10.95,8.66,-0.03
LOC441601,0.0,9.84,-5.13,-4.52,-0.2
LOC441666,-0.2,64.61,-60.55,-3.67,-0.2
LOC442028,0.0,2.86,-5.66,2.63,0.17
LOC442132,-0.05,0.2,-6.03,6.29,-0.42
LOC442421,0.69,11.59,-18.65,6.03,0.34
LOC442497,-0.81,-0.9,-55.88,56.43,1.16
LOC493754,-0.2,-0.12,-57.94,56.22,2.03
LOC494127,0.17,2.51,-11.14,8.66,-0.2
LOC494141,0.0,4.34,-1.94,-2.22,-0.2
LOC494558,0.52,2.56,-11.78,8.53,0.17
LOC503519,-0.2,11.15,-13.49,2.36,0.17
LOC541471,0.0,3.37,-6.0,2.63,0.0
LOC541473,-0.2,0.05,-57.55,56.37,1.33
LOC550112,-0.22,-7.38,3.96,3.47,0.17
LOC550113,-0.22,-7.38,3.96,3.47,0.17
LOC553103,0.17,-0.39,-5.07,5.47,-0.2
LOC554201,0.17,1.86,-5.01,2.8,0.17
LOC554206,0.17,10.98,-15.66,4.33,0.17
LOC554223,0.0,8.24,-10.19,2.34,-0.39
LOC572558,0.69,11.59,-18.65,6.03,0.34
