Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
ACN9,0.0,0.25,-50.92,50.79,-0.12
ACO1,-0.2,18.26,-25.02,6.61,0.34
ACO2,-0.22,21.05,-21.59,1.17,-0.42
ACOT1,-0.03,7.17,-10.49,3.34,0.0
ACOT11,0.0,-31.69,21.2,10.49,0.0
ACOT12,0.17,0.17,-5.95,5.43,0.17
ACOT13,0.0,6.58,-9.57,2.83,0.17
ACOT2,-0.03,7.17,-10.49,3.34,0.0
ACOT4,-0.03,7.17,-10.49,3.34,0.0
ACOT6,-0.03,6.98,-10.29,3.34,0.0
ACOT7,-0.22,-18.02,8.89,9.36,0.0
ACOT8,0.0,2.11,-31.33,29.05,0.17
ACOX1,0.0,5.63,-11.13,6.72,-1.23
ACOX2,-0.39,0.71,-7.64,7.52,-0.2
ACOX3,0.17,-0.89,-2.58,3.3,0.0
ACOXL,0.0,3.74,-6.0,2.27,0.0
ACP1,-0.42,2.89,-4.97,2.39,0.1
ACP2,0.17,7.37,-4.03,-3.51,0.0
ACP5,0.0,1.65,-19.38,19.12,-1.4
ACP6,0.0,-14.05,4.22,9.86,-0.03
ACPL2,0.17,1.1,-12.25,10.46,0.52
ACPP,-0.2,2.16,-11.54,9.41,0.17
ACPT,-1.59,-32.28,10.22,23.85,-0.2
ACR,1.08,21.79,-22.28,-0.38,-0.22
ACRBP,0.0,5.0,-3.35,1.19,-2.83
ACRV1,0.0,11.28,1.74,-10.85,-2.18
ACSBG1,-0.03,8.87,-11.46,2.61,0.0
ACSBG2,0.0,2.29,-18.28,17.2,-1.23
ACSF2,0.0,4.48,-11.98,7.33,0.17
ACSF3,0.86,12.05,-16.43,3.52,0.0
ACSL1,-2.61,-8.49,6.56,4.55,0.0
ACSL3,-0.03,1.19,-3.62,2.44,0.0
ACSL5,-1.4,62.66,-61.95,0.52,0.17
ACSL6,0.17,-0.39,-4.72,5.33,-0.39
ACSM1,0.17,10.01,-14.48,4.3,0.0
ACSM2A,0.34,9.49,-14.31,4.48,0.0
ACSM2B,0.34,9.49,-14.31,4.48,0.0
ACSM3,0.17,10.18,-14.31,3.96,0.0
ACSM4,0.0,5.83,-4.26,0.67,-2.25
ACSM5,0.34,9.15,-13.97,4.48,0.0
ACSS1,-0.39,1.68,-31.18,29.56,0.34
ACSS2,0.0,2.33,-31.89,29.75,-0.2
ACSS3,0.32,-0.89,-4.84,5.26,0.14
ACTA1,0.0,2.3,-11.23,8.58,0.34
ACTA2,3.22,63.09,-66.26,-0.22,0.17
ACTB,-0.59,-0.29,-56.39,56.65,0.61
ACTBL2,0.17,0.8,-7.15,6.16,0.0
ACTC1,-0.03,14.64,-16.81,2.02,0.17
ACTG1,-0.39,7.79,-10.5,4.48,-1.37
ACTG2,0.0,2.96,-5.38,2.61,-0.2
ACTL10,0.0,2.7,-32.41,29.56,0.14
ACTL6A,0.0,-0.45,-12.32,11.18,1.6
ACTL6B,0.0,0.61,-49.75,48.9,0.22
ACTL7A,0.0,0.87,-9.28,8.61,-0.2
ACTL7B,0.0,0.87,-9.28,8.61,-0.2
ACTL8,0.0,-28.25,16.88,11.21,0.17
ACTL9,0.0,2.49,-20.56,19.12,-1.05
ACTN1,-0.03,6.85,-10.54,3.53,0.17
ACTN2,-0.59,0.12,-9.22,9.51,0.17
ACTN3,0.0,13.12,-6.79,-6.33,0.0
ACTN4,0.0,-34.85,6.19,28.23,0.44
ACTR10,-0.03,8.09,-11.07,3.19,-0.2
ACTR1A,-0.39,65.64,-65.54,0.14,0.14
ACTR1B,0.0,2.68,-5.49,2.63,0.17
ACTR2,0.0,4.45,-6.7,2.07,0.17
ACTR3,0.0,3.57,-6.0,2.27,0.17
ACTR3B,0.17,0.74,-49.88,48.98,-0.02
