,log_rank,p_value,long_survival
DNAJB12,0.04723791510863803,0.8279411644532438,low
DNAJC1,0.003849264650822216,0.9505290329883433,high
DNAJC12,0.9752624743560367,0.3233712304511112,high
DNAJC9,0.33410833127932715,0.5632499093265477,high
DNMBP,1.3731176878993998,0.24127694325260002,low
DNTT,0.00606890562072772,0.9379050689761397,high
DOCK1,1.1156825565825175,0.29085001416806777,low
DPCD,0.10777098718236029,0.7426962467969102,low
DPYSL4,0.1273599916846565,0.7211851489472811,high
DRGX,0.006973471101350148,0.9334481638336722,low
DUPD1,0.09144916144306327,0.7623428679773376,low
DUSP13,1.0316254291312055,0.30977720666121716,high
DUSP5,3.290088796731799,0.06969925272966515,low
DYDC1,0.26654213108174174,0.6056608290115824,low
DYDC2,1.0475832183702607,0.3060643506451095,high
EBF3,0.5364117602556403,0.4639236255586121,low
ECD,1.5658147235613942,0.21081585981778408,high
ECHDC3,0.0014695759279068628,0.9694205468145585,high
ECHS1,0.27621922915037006,0.5991900438035699,high
EGR2,0.0007514862750449556,0.9781301302565614,low
EIF3A,2.3734434831132547,0.12341455339296009,high
EIF4EBP2,4.570053728944693,0.03253554496858755,high
EIF5AL1,0.03503622766383376,0.8515197666225902,high
ELOVL3,6.050239692464279,0.013904409270758263,low
EMX2,0.1747978158243755,0.6758825683697707,low
EMX2OS,1.1984954442831286,0.2736225979814422,low
ENKUR,2.6517454367680173,0.10343626694166025,high
ENTPD1,0.18576747649628808,0.666462907489084,low
ENTPD7,0.8129730261324122,0.36724273194798396,low
EPC1,2.492476724045498,0.11439158274513088,low
ERCC6,0.06168854605657384,0.8038467581896663,low
ERLIN1,0.4597617416830601,0.49773534455678636,low
EXOC6,0.03850172337159838,0.8444391014817358,low
EXOSC1,0.02201604463143976,0.8820444247768588,low
FAM107B,0.1397360680591056,0.7085435374177506,low
FAM13C,0.0683639841774801,0.793733880958203,high
FAM149B1,2.4052728844001585,0.12092703559490908,low
FAM160B1,0.2522030098639906,0.6155281245474514,low
FAM170B,1.429761647678235,0.23180334164131697,high
FAM171A1,0.2758698645397664,0.5994211210079144,low
FAM175B,0.6956279132949336,0.40425669001056774,low
FAM178A,1.9856015493503845,0.15880153685740508,low
FAM188A,1.8532302204428044,0.17340816751984356,low
FAM190B,0.9681969852519197,0.3251302575503963,low
FAM196A,0.4810654116992667,0.48794012485290394,low
FAM21A,2.3253633629543704,0.12728049584755707,low
FAM21B,0.13819944668131323,0.7100776077492974,low
FAM21C,0.7042508223048094,0.40135903209346335,high
FAM22A,0.2060883025329726,0.6498507828510753,high
FAM22D,0.08801377288964121,0.7667175827656375,low
FAM24A,0.0,1.0,same
FAM24B,1.3532216048943673,0.24471570017894956,high
FAM25A,0.011097030904078804,0.9161040833793083,same
FAM25B,0.004919869899505123,0.9440808095485254,high
FAM35A,10.796507517394975,0.0010169176579969644,high
FAM35B,2.313484249925027,0.12825626950605484,high
FAM35B2,2.5481973839455208,0.11042017395303345,high
FAM45A,0.695961850439512,0.40414390685374546,low
FAM53B,0.0028943723095880354,0.9570950107418446,low
FANK1,0.15813886910550995,0.690875826811693,low
FAS,4.705241576977782,0.030070775443695387,low
FBXL15,0.9458495637362716,0.3307780100246369,high
FBXO18,1.6980255184784327,0.19254639879006014,low
FBXW4,0.3514743423856114,0.5532797248496288,low
FGF8,0.14803500126892433,0.7004202984970607,high
FGFBP3,3.6598748833783223,0.055737818499805775,high
FGFR2,0.5955885709121512,0.44026615352646614,low
FLJ37201,0.0014041293224744556,0.9701088935534866,low
FLJ45983,1.0745193557690944,0.2999268570307407,low
FLJ46361,0.0020683883932271544,0.9637250841856498,same
FOXI2,0.016175411299570737,0.8987958843294942,high
FRAT1,0.3221466403531252,0.5703204396597108,high
FRAT2,4.727021013378921,0.0296922699337615,high
FRG2B,0.11634109001256387,0.7330372616240183,high
FRMD4A,1.349268303366144,0.24540607372474285,low
FRMPD2,0.028412259059542273,0.8661432462521635,low
FUT11,0.016105358224790877,0.8990140948798636,low
FXYD4,2.3398989530405334,0.12609773325947285,low
FZD8,2.3313535627932067,0.12679158437214483,low
GAD2,0.581810498993776,0.4456035368939091,low
GATA3,2.581487756905793,0.10811999782583868,low
GBF1,0.1273954720148997,0.7211479362421421,low
GDF10,0.19002648913831327,0.6628945717544192,high
GDF2,0.023822372189773833,0.8773377349781597,same
GDI2,2.68447005282418,0.10133093186403035,low
GFRA1,1.052925621369009,0.3048342508987258,low
GHITM,0.00048399841204366234,0.9824479843273201,low
GJD4,0.09991091592650127,0.7519365646046441,low
GLRX3,0.0626672485585745,0.8023288535228293,low
GLUD1,5.910958120794338,0.015046985803921638,high
GOLGA7B,2.469597542431327,0.11606764050978634,low
GOT1,0.06076242604007597,0.8052949280564332,low
GPAM,0.0773902165670851,0.7808657652071953,low
GPR123,0.1412099536451784,0.7070811053246743,high
GPR158,0.2698202834384465,0.6034523531387327,low
GPR26,0.8941612809603131,0.3443521259785869,high
GPRIN2,0.037538477998993,0.8463728203848339,low
GRID1,0.03148948926867047,0.8591527523236948,low
GRK5,0.046582799726505336,0.8291198820542608,low
GSTO1,0.7816587544277546,0.3766343133628529,low
GSTO2,0.017779839534137,0.8939236526116074,low
GTPBP4,2.7476302422690186,0.09739868769350313,low
GUCY2GP,0.0015175141316502586,0.9689260399324856,low
H2AFY2,0.661257617406381,0.4161163078638388,high
HABP2,0.5338302565340467,0.465000976582539,low
HECTD2,0.7010078478508902,0.4024452498678047,low
HELLS,0.4608469643823786,0.4972284090890502,same
HERC4,1.0956831136650296,0.29521543610559675,low
HHEX,0.0512270406449333,0.8209417230874183,low
HIF1AN,0.10996189750992838,0.7401875191097331,low
HK1,8.177031980265735,0.004242411828926353,low
HKDC1,0.6631850450953897,0.41543774947481393,low
HMX2,2.7935612960694867,0.09464367992138785,high
HMX3,4.266006027521503,0.038882219352188385,low
HNRNPA3P1,0.09483380401512163,0.7581196356114042,high
HNRNPF,0.4236726118031469,0.5151101479361063,low
HNRNPH3,1.4766032139479104,0.22430673816444258,high
HPS1,7.227795641748918,0.007178329613631808,low
HPS6,0.23823240017623737,0.6254856933599516,low
HPSE2,0.11065299191917947,0.7394019350725147,low
HSD17B7P2,0.8999875117933163,0.34278505971677103,high
HSPA12A,4.267021737567566,0.0388589822738687,low
HSPA14,2.910951506765302,0.08797995429860546,low
HTR7,6.649141849561437,0.009920359286851253,low
HTRA1,2.4056948540362493,0.12089443347358926,low
IDE,0.5721321511585076,0.4494128981256468,low
IDI1,3.354744930057243,0.06701159157674236,high
IDI2,4.528856501510323,0.03332788008200494,high
IFIT1,0.9168471252919014,0.33830417825509973,high
IFIT1B,1.4186929471071368,0.23361865739447402,low
IFIT2,2.187411815388243,0.13914295177240935,high
IFIT3,2.3135575253618152,0.12825022505184855,high
IFIT5,4.6584723774902805,0.030900672229662397,high
IKZF5,2.9588669049892484,0.08540777358436755,low
IL15RA,0.8364580614148013,0.3604117357978809,low
IL2RA,0.00014718980752919533,0.9903201578266876,low
INA,0.4474998292665917,0.5035246429964509,low
INPP5A,1.9457817070191434,0.16304213809258694,high
INPP5F,4.566043734310272,0.03261179665087109,low
IPMK,1.1068724790496964,0.2927628139838424,low
ITGA8,3.3382685242841723,0.06768580016764143,low
ITGB1,0.7024052752978223,0.40197666526928866,low
ITIH2,0.126359657917315,0.7222367393167068,low
ITIH5,0.47956071269960476,0.48862136310998283,high
ITPRIP,2.48907149943278,0.11463933867154474,low
JAKMIP3,0.13390408563950945,0.7144180024199949,low
JMJD1C,4.268386977202017,0.03882777171266459,high
KAZALD1,0.00015295317148329937,0.9901324750374756,low
KCNIP2,0.23288422463987707,0.6293934174173648,high
KCNK18,0.06877753425905817,0.7931250744822218,low
KCNMA1,0.6715750349289304,0.4125030166006406,high
KIAA0913,0.006938453738594087,0.9336150824457807,low
KIAA1217,0.9067432027316138,0.3409800221264603,low
KIAA1274,1.243542041031953,0.26478950652445565,high
KIAA1279,0.0012393186228312127,0.9719171065695786,low
KIAA1462,0.19108730433624843,0.662013200183819,high
KIAA1598,0.3451138276318412,0.5568921922890442,low
KIF11,0.14957484367713017,0.6989419843843852,high
KIF20B,0.23309408242987217,0.6292390433417374,low
KIF5B,0.943163469653633,0.3314656039543393,low
KIN,3.518669862032669,0.060681128819141,low
KLF6,0.00023996622711226675,0.9876405895810318,low
KNDC1,4.672601306129442,0.030647473543514554,low
LARP4B,0.5784474941240839,0.44692149785993507,low
LBX1,0.5603782318370604,0.4541078873593667,high
LCOR,0.5279974859969337,0.46744997672623434,low
LDB1,0.03853910848297339,0.8443645598883682,low
LDB3,0.027090881127353403,0.8692642803376148,low
LGI1,3.2316392808234635,0.07222835449408144,low
LHPP,0.011890886250188313,0.9131665283348509,low
LIPA,0.05340007000819679,0.8172491163528224,low
LIPF,0.20009341822598792,0.6546454520874776,high
LIPJ,1.2161397931041755,0.270119551644613,low
LIPK,0.0,1.0,same
LIPM,0.023341275675776135,0.8785729386963997,high
LIPN,0.027286726350372006,0.8687968415550483,low
LOC100128292,0.9425929148940008,0.3316119012218105,low
LOC100128811,0.2152491009476296,0.6426839560850253,low
LOC100129055,0.23894352022248128,0.6249702034726079,low
LOC100133308,0.02133398594541578,0.8838727736572776,low
LOC100169752,0.0,1.0,same
LOC100188947,1.8520467094122832,0.17354553746504758,low
LOC100216001,2.0792444910179277,0.1493140642014629,high
