,log_rank,p_value,long_survival
COX6B1,0.033564530489820436,0.8546361896115673,high
COX6B2,2.420252760857471,0.11977560286292684,low
COX7A1,0.6330602455665468,0.42623501275359676,high
CPT1C,0.5926733661360728,0.44138720261931574,high
CRX,0.0015239284328789373,0.9688604700165947,low
CTU1,0.0585712886714404,0.8087684948175009,high
CXCL17,0.16352703688611245,0.6859298027464951,high
CYP2A13,2.22873707049633e-08,0.9998808841708274,low
CYP2A6,1.0522699410232195,0.3049848777207702,high
CYP2A7,0.4286857910331488,0.5126345160981041,high
CYP2B6,0.009120604894685119,0.9239162144817106,high
CYP2B7P1,0.9482759092188843,0.33015853836529385,low
CYP2F1,0.132895103554208,0.7154489812851095,low
CYP2S1,0.7039693601413637,0.40145313742800626,low
CYTH2,0.033685954800029144,0.8543764240645088,low
DACT3,0.00611651090611818,0.9376624985426216,high
DBP,0.2336979863458457,0.6287952814778788,high
DEDD2,1.8981611321323746,0.1682842913422427,low
DHDH,1.4306207872945327,0.23166315239725252,low
DHX34,0.5735161205901894,0.44886507691067257,low
DKFZp434J0226,0.39550931042430326,0.5294175969723043,low
DKFZp566F0947,2.365525634744091,0.12404212595119214,low
DKKL1,0.01627372789135994,0.898490443091168,low
DLL3,1.204256809925652,0.2724725361073722,high
DMKN,1.0237270953178659,0.3116365601207613,low
DMPK,7.569244839300641e-08,0.9997804839230259,low
DMRTC2,0.0006065928931774109,0.9803508026076927,high
DMWD,0.056397235849378634,0.8122836403309612,high
DPF1,0.00016890119713840247,0.9896308250971623,high
DPRX,0.008129061179213639,0.9281590320383061,low
DPY19L3,1.554243924298715,0.21251001469119982,low
DUXA,0.025503321992731646,0.8731192951453212,low
DYRK1B,2.1866122879580177,0.1392152144783756,high
ECH1,3.0318024417330527,0.08164726925248846,high
EGLN2,1.3885854501413577,0.23864412852087644,low
EHD2,2.1300869845265944,0.14443255950725276,low
EID2,0.19621552397358347,0.6577930651992479,low
EID2B,0.10536094829805466,0.7454887379388587,low
EIF3K,0.19231219537229607,0.6609991246400073,high
ELSPBP1,0.07710301126580187,0.7812623984408287,high
EML2,1.1310758685470157,0.2875459705091409,low
EMP3,1.5211827939249851,0.2174405889862977,low
EPN1,1.699168092208906,0.19239680844694473,high
EPS8L1,0.15123400249843866,0.6973588796551652,high
ERCC1,1.1191094649118625,0.29011028999718635,high
ERCC2,0.29571869718314997,0.5865789460906954,high
ERF,3.372994175475449,0.06627320598434863,high
ETFB,0.23979040006761043,0.6243575398619072,high
ETHE1,0.3013912612410868,0.5830115367448465,high
ETV2,0.22535746261729594,0.6349877738493457,high
EXOC3L2,1.321534040765649,0.25031692382722803,low
EXOSC5,0.41288131202254325,0.5205106761885212,high
FAM187B,0.4162791564131759,0.518799536292482,high
FAM71E1,0.19727515645300644,0.6569293096660411,high
FAM71E2,13.574905196033097,0.00022922956565167663,low
FAM83E,0.85031183338227,0.35646413659203413,low
FAM98C,0.028933911103707088,0.8649317221297986,high
FBL,2.6006406886767914,0.10682052418792082,high
FBXO17,4.805529219882576,0.02836855233551441,low
FBXO27,3.712039465544602,0.054021345668989695,low
FBXO46,1.9261586696495172,0.1651793191441236,high
FCAR,0.24067638209621284,0.6237180222748712,low
FCGBP,1.58992298967932,0.20733713678959026,low
FCGRT,0.6149436531151986,0.4329324860420608,low
FFAR1,0.40289762674288204,0.5255965832722775,low
FFAR2,0.6648517807299865,0.41485228965469734,low
FFAR3,0.6579920678530784,0.41726971505533306,low
FGF21,0.21646741678814344,0.6417448533663337,high
FIZ1,0.0009380373236713451,0.9755666943543123,high
FKBP1AP1,1.4535620890013001,0.22795724413922502,low
FKRP,3.3086929010176847,0.06891428595428394,low
FLJ26850,0.9585464415948549,0.32755337267684953,low
FLT3LG,0.025378727910440803,0.8734269870443387,high
FOSB,2.164313249549978,0.14124771365965444,low
FOXA3,0.38016090304959754,0.5375171363479263,high
FPR1,0.7543464629892821,0.3851035942845792,low
FPR2,0.12456693705124913,0.7241331107249331,low
FPR3,0.2981774317417307,0.5850272697045247,low
FTL,0.4400512854737661,0.5070977030865813,low
FUT1,0.9938321482347886,0.3188075642415297,high
FUT2,0.3797684367398382,0.5377271911325893,high
FUZ,1.5813567715643413,0.2085653697154359,high
FXYD1,7.554530727024453,0.005985938400284652,low
FXYD3,1.5880028898676932,0.2076116973331451,high
FXYD5,2.529386159141936,0.11174367892393332,low
FXYD7,0.16104254596604037,0.6881984784879449,high
GALP,0.015981991923259185,0.8993995480778386,high
GAPDHS,0.02079167246274863,0.8853479281440931,low
GEMIN7,0.047578723509712796,0.8273313478896847,high
GGN,3.058413784875938,0.08032004282171616,low
GIPR,0.5747317991560398,0.44838472818098885,low
GLTSCR1,0.2375544095059432,0.6259780556870704,high
GLTSCR2,1.343400096456869,0.24643524328676447,high
GMFG,0.22598809610515933,0.6345146842414666,high
GNG8,0.4056032756289707,0.524209587359793,high
GP6,1.915228829653166,0.1663835867459803,low
GPATCH1,0.11617232360202115,0.733223574246519,high
GPI,0.7472121193889195,0.38736032823577893,high
GPR32,0.007839763829688658,0.9294455538655969,low
GPR4,0.03736527254969696,0.8467232514182134,high
GPR77,0.1828396008997686,0.668944204364337,low
GRAMD1A,0.19350938502841342,0.6600116969263077,high
GRIK5,0.22415437170537691,0.6358925648478194,high
GRIN2D,0.17482574110485377,0.6758581530526766,low
GRWD1,0.5786451389703242,0.4468438737274565,high
GSK3A,0.07943603023209578,0.778063144595715,high
GYS1,1.8005805462013762,0.17964232551745735,same
HAMP,1.6597309612406517,0.19763965284371154,low
HAS1,2.9602760459156667,0.0853333711208236,low
HAUS5,0.06380921541805212,0.8005735738743793,high
HCST,1.013193530609903,0.31413898166659826,low
HIF3A,0.5672673333031536,0.4513468532128596,low
HIPK4,1.0673207411625378,0.3015514120199927,high
HKR1,0.2599220734420512,0.610173696430024,high
HNRNPL,0.4987639172704867,0.48004375026967117,high
HNRNPUL1,0.41922971955960786,0.5173216496473895,high
HPN,1.0975893227884927,0.29479575649003753,low
HRC,0.26703808582411803,0.605325605422302,low
HSD17B14,0.47114384413598787,0.4924614169157482,low
HSPB6,3.3095031422246377,0.06888031497421016,low
HSPBP1,0.5282136901021768,0.46735883086513763,high
IGFL1,0.14693226164413736,0.7014844079716916,high
IGFL2,0.2822907660207154,0.5952036834933632,low
IGFL3,3.6597478502689804,0.05574206840950804,low
