,log_rank,p_value,long_survival
ATP5J2,1.1167405955982765,0.29062137204200594,high
ATP6V0A4,0.7811308117125623,0.3767955203655393,low
ATP6V0E2,0.0015115128732074838,0.9689875133222832,high
ATP6V1F,0.2603568622170477,0.6098750916586126,high
ATXN7L1,0.671026851550861,0.4126938288128823,high
AUTS2,1.1899633119844248,0.2753369568189077,low
AVL9,0.5319804293872231,0.46577543390314313,low
AZGP1,3.4553339679761135,0.06304799697537647,low
BAIAP2L1,2.081750341063999,0.14906915372921242,low
BAZ1B,0.3485027189640253,0.5549619306847522,high
BBS9,0.16600530236630265,0.6836867019632782,high
BCAP29,2.8675436956505678,0.09038271718358756,low
BCL7B,2.230667650230859,0.13529537362491106,high
BET1,6.043591718670119,0.013956861219497217,low
BHLHA15,3.050026904903888,0.0807358054204693,low
BLVRA,2.6657501572261455,0.10252947401967592,low
BMPER,0.018318764207083095,0.8923376612416698,low
BPGM,0.017210255603534307,0.8956266962836641,high
BRAF,0.06593410333815958,0.7973514138828245,low
BRI3,1.1397502323132906,0.2857051108672949,low
BUD31,0.9628847021534617,0.32646114774299967,low
BZW2,1.4053964934883691,0.23582210731336026,low
C1GALT1,4.822473951285184,0.028090998978274873,low
C7orf10,0.10292596953021182,0.7483462149323175,high
C7orf11,1.109662247551413,0.2921553801968354,low
C7orf13,0.7002007375404501,0.40271625174818715,low
C7orf23,1.1775648458025307,0.2778523026529649,high
C7orf25,1.775984890986968,0.18264313261835766,low
C7orf26,1.6653068314746617,0.19688832670230794,low
C7orf29,5.589941049467161,0.018063904088268575,low
C7orf30,3.5062622728917447,0.06113723961098037,high
C7orf31,5.1560246468612725,0.02316586325349336,high
C7orf33,0.018752928797732615,0.8910771672336979,high
C7orf34,0.1899183793696103,0.6629845583300139,low
C7orf41,0.09233953805223355,0.7612237235028667,low
C7orf42,1.5432368080965122,0.21413665508275184,high
C7orf43,2.9129275983551732,0.0878722318158549,low
C7orf44,0.4998045898179686,0.47958599630479715,low
C7orf45,0.28291177714266164,0.5947990550749958,high
C7orf46,1.4382845639171744,0.23041713710061817,low
C7orf49,2.193141821605271,0.1386262934081471,low
C7orf50,0.43457824986999133,0.5097509792371647,low
C7orf53,1.3304208220869411,0.24873036690530037,low
C7orf55,0.6615347299032459,0.4160186482533569,high
C7orf57,1.0304106377649105,0.3100622401895554,low
C7orf58,1.2162124838588033,0.2701052363031637,high
C7orf59,0.7772948090578254,0.3779697622773214,high
C7orf60,0.0010403681880511162,0.9742689034510806,high
C7orf61,0.36848669680597307,0.5438303056968585,high
C7orf63,0.3888847849971375,0.5328861892539425,low
C7orf65,1.0116251272913954,0.3145138233868967,low
C7orf66,0.02220044712879753,0.8815550969261445,high
C7orf69,3.262592515749696,0.07087698785424724,low
C7orf70,3.9069155103918516,0.048087779303115676,low
C7orf71,0.027713251984772105,0.867784747856593,low
C7orf72,0.04281849043961787,0.8360674226053442,high
CACNA2D1,0.007602078719347743,0.9305205671541649,low
CADPS2,1.8512474747429555,0.17363837534682786,low
CALCR,0.3546821643944911,0.5514745623383179,low
CALD1,1.8915056465680007,0.16903219737083464,low
CALN1,0.026570371017708056,0.8705151234330248,low
CALU,1.7044102101082184,0.19171222632198417,low
CAMK2B,2.2873763352084713,0.1304302374393925,same
CAPZA2,0.1628454961838923,0.6865501357350218,low
CARD11,1.5045983653293935,0.21996518169820015,low
CASD1,0.6145544105740515,0.4330781293017547,high
CASP2,1.5657614979983803,0.21082361616542858,high
CAV1,0.5504749521440226,0.45812369387835017,low
CAV2,0.4471862251473636,0.5036742087602646,low
CBLL1,0.08424960664223231,0.7716189991411031,high
CBX3,0.0525344839928839,0.8187103461895707,high
CCDC126,0.7124107005171325,0.39864467755051014,low
CCDC129,2.9888947361639557,0.08383737302169023,low
CCDC132,1.348321963886699,0.245571687670316,low
CCDC136,0.3285881849966272,0.5664916008336025,low
CCDC146,0.7085866227585806,0.3999134185366604,low
CCL24,0.0004571292171750499,0.9829420646410627,high
CCL26,2.6052871468156127,0.10650786456225313,low
CCM2,6.546029616104151,0.010511847633685489,low
CCT6A,0.2012309208532721,0.6537291113667807,high
CCT6P1,0.034254662473459103,0.8531661694693066,low
CD36,0.019515118622608296,0.8888997734741302,low
CDC14C,0.024902373703029654,0.8746105692606125,high
CDCA7L,0.9506791977450588,0.3295464736202155,high
CDHR3,0.013290310434242579,0.9082203300988869,low
CDK13,0.04404973470708388,0.8337611085662966,low
CDK14,0.4566749502098506,0.49918205334166643,high
CDK5,0.36784611180699406,0.5441806688984305,high
CDK6,0.8576098916536199,0.3544084118629156,low
CFTR,0.0041696361721163975,0.9485142056275853,high
CHCHD2,0.05421939631617479,0.8158774288750361,high
CHCHD3,0.6442085107040746,0.4221909305600092,high
CHN2,5.58663086425325e-05,0.9940363656723891,low
CHPF2,5.124698874481305,0.02358766299417336,low
CHRM2,0.012066142710734109,0.912531512655896,high
CHST12,2.783811734234595,0.0952212978133426,low
CLCN1,0.014224670725954642,0.9050636495581578,low
CLDN12,0.9097974536302366,0.34016816593778343,same
CLDN15,0.05020941976618966,0.822699267704731,low
CLDN3,0.34496503080825486,0.5569772365489132,high
CLDN4,4.001553068451926,0.045458358403887754,low
CLEC2L,3.584985611162599,0.05830392163383066,same
CLEC5A,5.855558789528528,0.015527927123261774,low
CLIP2,0.08425886422673064,0.7716068003637448,high
CLK2P,0.06054321403474612,0.8056394195431961,high
CNOT4,0.0022274568673632394,0.9623570623588459,high
CNPY1,3.262157784314282,0.07089577878965213,low
CNPY4,7.293890927734934,0.0069189467592306935,low
CNTNAP2,0.08062812552200703,0.7764479925012936,low
COBL,0.0773178984890554,0.7809655623675873,low
COG5,0.5610941170852742,0.453819741813002,low
COL1A2,2.8181528990694638,0.0932036028630666,low
COL28A1,2.32943193341538,0.1269481970155893,high
COPG2,0.40366677251216154,0.52520163279491,high
COPS6,1.134699039508384,0.2867752402192316,high
